Kérdés,Válasz
Mi a szakmai gyakorlat teljesítésének feltétele?,"A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele. Fontos, hogy időben meglegyen az aláírásod a szakmai gyakorlatról szóló igazoláson, hogy a teljesítésed hitelesítve legyen."
Mikor lehet elkezdeni a gyakorlat elszámolását?,A gyakorlat elszámolását október 9-től lehet elkezdeni.
Mi a következő lépés a témakiírással kapcsolatban?,A következő lépés a témakiírás elkészítése.
Lehet-e október 9-től elkezdeni az óraelszámolást?,"Igen, az óraelszámolást október 9-től lehet elkezdeni."
Hogyan kell leadni a 2. sz. kérvényt?,A 2. sz. kérvényt Dr. Blázovics Lászlónak kell leadni.
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"A Szakmai gyakorlat tárgyat a következő őszi félévben kell felvenni, amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed. Ha a gyakorlatot a nyári időszakon kívül végzed, akkor ugyanabban a félévben kell felvenni a tárgyat."
Milyen feltételeknek kell megfelelni a szakmai gyakorlat elvégzéséhez?,"A szakmai gyakorlat elvégzéséhez szükséges egy érvényes keretmegállapodás a VIK és a cégek között. Emellett a gyakorlatodhoz tartozó dokumentumokon meg kell adnod a gyakorlóhelyi konzulensed nevét, aki felügyelni fogja a munkádat."
Mennyi időt kell tölteni a szakmai gyakorlaton?,"A szakmai gyakorlat időtartama általában megegyezik a cégnél meghatározott munkaidővel. Ez általában heti 40 órát jelent, de ez változhat cégenként. Fontos, hogy a szakmai gyakorlatot legalább 6 héten keresztül végezd el."
"Mi a teendő, ha a céggel már van érvényes keretmegállapodás, de még nem jelölték ki a gyakorlóhelyi konzulenst?","Amennyiben még nincs megadva gyakorlóhelyi konzulens a dokumentumokon, fordulj a cégedhez és kérd meg, hogy jelöljenek ki egy személyt, aki felügyelni fogja a munkádat. Ez fontos információ a beadandó űrlapokhoz."
"Szükséges-e új megállapodást kötni a céggel, ha már van érvényes megállapodás a VIK és a cég között?","Nem, ha már van érvényes megállapodás a cég és a VIK között, akkor nem szükséges újat kötni. A meglévő megállapodás alapján végezheted el a"
Mikor kell leadnom a jelentkezésemet a szakmai gyakorlatra?,A jelentkezést a gyakorlat megkezdése előtt kell benyújtani. A pontos határidőről értesítést fogsz kapni a megállapodás aláírásával kapcsolatban.
Mennyi időt számolhatok el szakmai gyakorlatnak?,"A szorgalmi időszakban heti 24 órát számolhatsz el szakmai gyakorlatnak. Ez lehetővé teszi, hogy időben befejezd a gyakorlatot."
Hogyan működik a szakmai gyakorlat óraszámának számítása?,"A szakmai gyakorlat során a heti munkaidőt lehet hétvégével is számolni. Ha az első héten veszítesz el két napot, akkor is megfelelő óraszámot érhetsz el a heti 20 órával, ha a hétvégéket is beleszámolod."
Mikor fogom megkapni a visszajelzést a jelentkezésemről?,A visszajelzést a megállapodás aláírásának követően fogod megkapni. A pontos időpontot az oktató vagy a gyakorlati hely fogja közölni veled.
Milyen cégeknél lehet szakmai gyakorlatot végezni?,"A BME VIK együttműködik különböző cégekkel, akik rendelkeznek munkaviszonnyal az egyetemmel. Az együttműködési megállapodásokat a megfelelő cégekkel kötik meg, és ezek a cégek biztosítják a szakmai gyakorlati lehetőségeket."
Milyen cégeknél lehet végezni szakmai gyakorlatot a BME VIK-en?,"A BME VIK-nél több egyetemmel és vállalattal kötöttünk együttműködési megállapodást, amelyek lehetőséget biztosítanak a hallgatók számára a szakmai gyakorlat elvégzésére. A konkrét cégek listáját és további információkat a VIK honlapján találhatod meg."
Milyen területeken lehet végezni gyakorlatot a BME VIK-en?,"A BME VIK-nél számos területen lehet szakmai gyakorlatot végezni, többek között a gépészet, villamosmérnöki, biztonságtechnikai területeken. Az egyes szakokhoz tartozó gyakorlati lehetőségekről részletes információkat a VIK honlapján találhatsz."
Hogyan tudok jelentkezni a szakmai gyakorlatra a BME VIK-en?,"A szakmai gyakorlatra jelentkezéshez először fel kell venned a Szakmai gyakorlat tárgyat a Neptun rendszerben. Ezután a gyakorlati időszak előtt kapcsolatba kell lépned a szakmai gyakorlat adminisztrátorával, hogy megbeszéljétek a részleteket és megkötsetek együttműködési megállapodást."
Milyen hosszú lehet a szakmai gyakorlat a BME VIK-en?,"A szakmai gyakorlat hossza általában a kötelező gyakorlati időtartamra, azaz 4 hétre van meghatározva. Azonban a BME VIK nyitott a hosszabb"
Milyen módon kell kitölteni és elküldeni a szakmai gyakorlat kérelmet?,Csupán a kérelmet kell kitölteni és nekem elküldeni.
Mennyire rugalmas a szakmai gyakorlat időbeosztása?,"Ha a szakmai gyakorlatot nem sikerül befejezned a félév végéig, akkor a következő félévben befejezheted úgy, hogy nem aktív a féléved."
Lehet-e utólagosan elszámolni az elkezdett gyakorlati órákat?,"Igen, az elkezdett gyakorlati órákat utólag is el lehet számolni."
Hogyan kell felvenni a szakmai gyakorlat tárgyat a Neptun rendszerben?,"Amennyiben a gyakorlatot az ajánlott módon a szorgalmi időszakban végzed, akkor a tárgyat a következő félévben kell felvenni. Ha a szakmai gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat."
Milyen módon kell átadni a kinyomtatott kérelmet?,"Az aláírt és kinyomtatott kérelmet személyesen kell átadnod, vagy beszkennelve is elküldheted."
Milyen teendőim vannak a szakmai gyakorlat kezdetén?,A szakmai gyakorlat kezdetén el kell készíteni és be kell adni a feladatlapot.
Lehet visszamenőleg elfogadtatni a korábban elvégzett munkámat szakmai gyakorlatnak?,Visszamenőlegesen nem lehet elfogadtatni a szakmai gyakorlatot. A gyakorlat kezdetén kell elvégezni és be kell adni a feladatlapot.
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat."
Milyen feltételeknek kell megfelelni a szakmai gyakorlat teljesítéséhez?,"A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele. Fontos, hogy időben meglegyen a szakmai gyakorlatról az aláírásod."
Milyen formában kell bemutatni a szakmai gyakorlat kérvényét?,A kérvényt elektronikusan kell elküldeni. Az adminisztrációt pedig az AUT portálon kell intézni. A link a következő: https://www.aut.bme.hu/SzakmaiGyakorlat/
Milyen konzulensnek kell megadni a szakmai gyakorlat kérvényben?,A kérvényben a konzulensként Dr. Blázovics Lászlót kell megadni.
Hol kell elvégezni a szakmai gyakorlatot?,"A szakmai gyakorlatot egy cégnél kell elvégezni, ahol felvettek a gyakorlatra."
Hány órát kell hetente dolgozni a szakmai gyakorlat során?,"A szakmai gyakorlat során heti 32 órát kell dolgozni ahhoz, hogy abszolválhass a félév végén."
Hol kell intézni a szakdolgozatot?,A szakdolgozatot a HVT-n kell csinálni.
Ki legyen a konzulens a szakdolgozatnál?,"Ha az önálló labor tárgyat az adott tanszéken csináltad, akkor a tanszéki konzulensed legyen a konzulens. Ha más tanszéken csináltad, akkor válaszd ki a témához kapcsolódó tanárt konzulensnek."
Mikor kell felvenni a Neptunban a Szakmai gyakorlat tárgyat?,"Amennyiben a szakmai gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
Milyen teendőim vannak a szakmai gyakorlat elkönyvelésével kapcsolatban?,"A szakmai gyakorlat elkönyveléséhez a következő adatokra van szükség: a cég nevére és címére, valamint a céges adminisztratív kapcsolattartó nevére, e-mail címére és telefonszámára. Kérjük, adja meg ezeket az adatokat a kari felelősnek."
Lehet utólag fogadtatni a szeptemberben végzett munkát?,"Igen, el lehet utólag fogadtatni a szeptemberben végzett munkát. Kérjük, jelezze a kari felelős felé, hogy szeretné utólag elszámolni a szakmai gyakorlatot."
Hány órát kell teljesíteni a szakmai gyakorlaton?,"A szakmai gyakorlaton heti 20 órát kell teljesíteni. Amennyiben ez nem megoldható, kérjük, jelezze a kari felelős felé a helyzetet."
Mikor fog megtörténni a megállapodás a Navitasoft Zrt.-vel?,"A céggel való megállapodás hamarosan létrejön, azonban pontos időpontot még nem kaptam. Amint értesítést kapok, azonnal tájékoztatlak erről."
Melyik szakmai gyakorlati feladatot kell leadnom az iit honlapján?,"A jelentkezési és feladatlapon szereplő feladatot kell leadnod az iit honlapján. Kérlek, ellenőrizd, hogy a megfelelő helyre töltötted-e fel a dokumentumot."
Elfogadod-e a feladat leírást és a jelentkezésemet a Navitasoft Zrt.-nél történő szakmai gyakorlatra?,"Igen, elfogadom a feladat leírását és a jelentkezésedet a Navitasoft Zrt.-nél történő szakmai gyakorlatra. Kérlek, folytasd a szükséges adminisztratív teendőket, és légy kapcsolatban a céggel a további részletekért."
Milyen információkat találok a BME VIK szakmai gyakorlatával kapcsolatos preziben?,"A BME VIK szakmai gyakorlatával kapcsolatos preziben megtalálhatók a szükséges információk, például a gyakorlati helyek listája, a jelentkezés menete, a szükséges dokumentumok, valamint a gyakorlat elkönyvelésével kapcsolatos teendők."
Milyen teendőim vannak a szakmai gyakorlat elkönyvelésével kapcsolatban?,"A szakmai gyakorlat elkönyveléséhez szükséges a cég neve, címe, valamint a céges adminisztratív kapcsolattartó neve, e-mail címe és telefonszáma. Ezeket a BME VIK kari felelősének kell megadnod, hogy be tudja könyvelni a gyakorlatot."
Mikor kell kérvényezni a szakmai gyakorlatot a BME VIK kari felelős felé?,"Ha a szakmai gyakorlatodat olyan cégnél végzed, amely nem szerepel a BME együttműködési megállapodásában, akkor neked kell kérvényezned a gyakorlat elszámolását a kari felelős felé. Ezt cégnév, cím és adminisztratív kapcsolattartó adatainak megadásával teheted meg."
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenned. Ha a szakmai gyakorlatot az aján"
Mikor kell aláírni a szakmai gyakorlat beszámolóját?,"A szakmai gyakorlat beszámolóját a gyakorlat végén kell aláírni. Fontos, hogy minden részletet pontosan tüntess fel a beszámolóban és jegyzőkönyv formájában add át a vezető tanárnak."
Milyen formában lehet aláírni a szakmai gyakorlat beszámolóját?,"A beszámolót kézzel írva vagy ügyfélkapus AVDH elektronikus aláírással is elfogadják. Fontos, hogy az aláírásra vonatkozó rész pontos és olvasható legyen."
Milyen forrásokat kell megjelölni a szakmai gyakorlat beszámolójában?,"A beszámolóban minden felhasznált forrást meg kell jelölni, legyen az szakirodalom, internetes oldal vagy más segédanyag. Fontos, hogy az idézeteket, hivatkozásokat pontosan tüntesd fel, hogy azok nyomonkövethetőek legyenek."
Milyen határidőre kell leadni a szakmai gyakorlat beszámolóját?,A beszámolót a szakmai gyakorlat lezárását követő 2 hétben kell leadni. Az pontos határidőt a gyakorlatvezető tanárral kell egyeztetni.
Milyen formátumban kell leadni a szakmai gyakorlat beszámolóját?,"A beszámolót elektronikusan kell leadni, általában PDF vagy Word formátumban. Ellenőrizd, hogy a fájl megfelelően formázott és olvasható-e."
Mikor kell leadni a szakmai gyakorlat dokumentumait?,"Amennyiben a szakmai gyakorlatod rendben zajlott, de elfelejtetted leadni a dokumentumokat, azt utólagosan is megteheted a helyzetedre való tekintettel."
Milyen dokumentumokat kell beadni a szakmai gyakorlat során?,"A szakmai gyakorlat során általában feladatlapot és jelentkezési lapot kell beadni. Azonban ha elfelejtetted beadni ezeket, érdemes konzultálni a gyakorlatot felügyelő oktatóval, hogy pontosan mi a teendő."
Milyen feltételek mellett lehet utólagosan elfogadni a szakmai gyakorlat jelentkezést?,"Amennyiben már csak a szakmai gyakorlat és a szakdolgozat hiányzik az abszolutórium megszerzéséhez, van lehetőség utólagosan elfogadni a jelentkezést."
Milyen határidővel kell leadni a szakmai gyakorlat dokumentumait?,A dokumentumok beadási határidejét érdemes megtalálni az adott tantárgy Neptun oldalán vagy konzultálni az oktatóval.
Milyen dokumentumokat kell leadni a szakmai gyakorlat utólagos elfogadásához?,"Az utólagos elfogadáshoz általában a feladatlapot és jelentkezési lapot kell leadni. Azonban ezeket érdemes konzultálni a gyakorlatot felügyelő oktatóval, hogy pontosan mi a teendő."
"Milyen lehetőségeim vannak, ha a szakmai gyakorlatra vonatkozó dokumentumokat nem sikerült időben leadnom?","Amennyiben a dokumentumokat nem sikerült időben beadnod, érdemes konzultálni a gyakorlati helyeddel és a gyakorlati konzulenseddel. Előfordulhat, hogy van lehetőség utólagos beadásra vagy más megoldásra, hogy a végzést ne veszélyeztesd. Fontos azonban, hogy minél hamarabb intézkedj és érdeklődj a lehetőségekről."
Mennyi időt kell még ledolgoznom a szakmai gyakorlaton?,"Amennyiben már 320 órát ledolgoztál a gyakorlati helyeden, a továbbiakban már nem kell több időt eltöltened a szakmai gyakorlaton. Azonban érdemes konzultálni a gyakorlati konzulenseddel, hogy biztosan teljesítettnek nyilvánítsanak és hogy minden szükséges dokumentációt leadj a gyakorlati idő teljesítésének igazolásához."
Mikor kell teljesítenem a 320 órás szakmai gyakorlatot?,"A 320 órás szakmai gyakorlatot a BME mérnökinformatikus szakán a szakdolgozat és a szakmai gyakorlat tárgyak teljesítése előtt kell teljesítened. A pontos időpontot érdemes az illetékes tanszéken vagy a gyakorlati konzulensednél érdeklődni, hogy az előírt rendelkezéseknek megfelelően intézkedhess."
Milyen további teendőim vannak a szakmai gyakorlat adminisztrációjával kapcsolatban?,"A megállapodástervezetet kell elküldened a cég számára, hogy aláírják. Emellett ki kell tölteniük egy mellékletet is, amit szintén alá kell írniuk."
Mikor kell elküldenem a megállapodástervezetet a cégnek?,A megállapodástervezetet a kérvényben megadott e-mail címre kell elküldened.
Milyen előkészületeket tehet a cég az adminisztrációval kapcsolatban?,A cégnek csupán alá kell írniuk a megállapodást és kitölteniük a mellékletet.
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a szakmai gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenned. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
Mikor kezdhetem el a gyakorlatot?,A gyakorlatot október 2-től kezdheted el.
Mikor kapom meg a megállapodást aláírásra?,"A megállapodás tervezetét elküldtem a cégnek aláírásra, így hamarosan megkapod azt."
Mi a teendőm a gyakorlat előtt?,"Feltöltötted a feladatlapot és a jelentkezési lapot az IIT oldalán, tehát nincs további teendőd."
Milyen elérhetőségen tudok felvenni?,Az alábbi telefonszámon tudsz elérni: +36 70 424 7121.
Mikor kell elkezdenem elszámolni a szakmai gyakorlatot a regisztrációs héttől?,"A szakmai gyakorlatot a regisztrációs héttől kezdve kell elszámolni. Ez azt jelenti, hogy a regisztrációs héten belül meg kell nyitnod egy új témát a portálon és elkezdeni az ott végzett munkád elszámolását."
Mennyi időm van még a munkanapló és a beszámoló feltöltésére a portálra?,"A munkanapló és a beszámoló feltöltésére a portálra nincs meghatározott határidő. Azonban fontos, hogy a szakmai gyakorlat teljesítésének feltétele a munkanapló és a beszámoló aláírása, ezért célszerű minél hamarabb feltölteni őket a portálra."
Hol dolgozom jelenleg?,"A jelenlegi munkahelyedre vonatkozó információkra nincs lehetőségünk, mivel az emailben nem találhatóak ilyen jellegű adatok."
Van lehetőségem utólagosan leadni a külföldi szakmai gyakorlatos kérelmet és feladatlapot?,"Sajnos a külföldi szakmai gyakorlatos kérelem és feladatlap utólagos leadására nincs lehetőség. A szakmai gyakorlatnak előre meghatározott adminisztratív folyamata van, amit időben kell elvégezni."
Van lehetőségem teljesíteni a szakmai gyakorlatot a szorgalmi időszakban?,"Igen, van lehetőséged a szakmai gyakorlat teljesítésére a szorgalmi id"
Mikor lehet elkezdeni a szakmai gyakorlatot és mikor lehet felvenni a tárgyat a Neptunban?,"Van lehetőség arra, hogy az őszi félévben elkezdje a szakmai gyakorlatot és a tavaszi félévben vegye fel a tárgyat a Neptunban. Fontos azonban megvárni, hogy a céggel megállapodás jöjjön létre."
"Lehet-e új témát felvenni, mielőtt a cég aláírta a megállapodást?","Igen, új témát fel lehet venni, de érdemes megvárni, míg a megállapodást a cég aláírja."
Milyen követelményeknek kell megfelelni a szakmai gyakorlat teljesítéséhez?,A hallgatónak a szakmai gyakorlat szabályzatban leírtaknak megfelelően kell teljesítenie a gyakorlatát. A szabályzatokat a BME VIK honlapján találhatod meg a következő linkeken: [link1] és [link2].
Milyen információkat találok a tanszék weboldalán a gyakorlat teljesítésével kapcsolatban?,A tanszék weboldalán megtalálod az összes szükséges információt a gyakorlat teljesítésével kapcsolatban. Az információkhoz a kar honlapján található link segítségével juthatsz el: [link].
Van-e érvényes együttműködési megállapodás a cégünk és a BME VIK között?,"Igen, a cégüknek van érvényes együttműködési megállapodása a BME VIK-val. A megállapodás szerepel a BME VIK honlapján elérhető nyilvános listán, melynek linkje: [link]."
"Milyen követelményeknek kell megfelelnie a hallgatónak ahhoz, hogy sikeresen teljesítse szakmai gyakorlatát?","A hallgatónak rendelkeznie kell érvényes együttműködési megállapodással a vállalattal, amelyben a gyakorlatot szeretné teljesíteni. Emellett általában előírtak lehetnek a gyakorlat időtartamára, a munkakörnyezetre, a témaválasztásra és a feladatokra vonatkozóan. A konkrét követelményeket a megállapodásban vagy a gyakorlati hely szabályzatában találhatja meg a hallgató."
Mi a szakmai gyakorlat teljesítésének feltétele a BME VIK-nál?,"A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele. Ezért fontos, hogy a hallgató időben és megfelelően teljesítse a gyakorlatot. A konkrét feltételeket és előírásokat a szakmai gyakorlat tárgy keretében találhatja meg a hallgató."
Mikor és hogyan kell felvenni a szakmai gyakorlat tárgyat a Neptunban?,"A szakmai gyakorlat tárgyat általában a gyakorlat időpontjához legközelebb eső félévben kell felvenni a Neptun rendszerben. Ha a gyakorlatot az ajánlott módon a nyári időszakban végzi, akkor a tárgyat a következő őszi félévben kell felvennie. Ha a szakmai gyakorlatot félév közben végzi, akkor ugyanab"
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptun rendszerben?,"A szakmai gyakorlat tárgyát akkor kell felvenni a Neptun rendszerben, amikor elkezded a gyakorlatot. A felvételt általában a gyakorlat kezdete előtt pár héttel kell elvégezni, hogy az adminisztrációs feladatokat időben el tudják végezni."
Milyen lépésekből áll az együttműködési megállapodás kitöltése?,Az együttműködési megállapodás kitöltése a következő lépésekből áll:
Mikor kapom meg a választ az együttműködési megállapodásra tett kérelmemről?,"Az együttműködési megállapodásra tett kérelem elbírálására általában néhány munkanapot vesz igénybe. A választ emailben fogod megkapni, a megadott email címedre. Kérjük, türelmedet kérjük a válaszra várva."" "
Milyen teendőim vannak az együttműködési megállapodás kitöltése előtt?,Az együttműködési megállapodás kitöltése előtt nincsenek külön teendőid. Csak töltsd ki a 1. számú kérelmet a szakmai gyakorlatodról és küldd el a megadott email címre. Az elbírálás után kapni fogsz egy visszajelzést az együttműködés
Mikor kell leadni a szakmai gyakorlat papírozásához szükséges mellékletet?,A mellékletet a QB207-ben tudod leadni aláírásra. A többi automatikusan intéződni fog.
Van szükség új megállapodásra a szakmai gyakorlat elvégzéséhez?,"Nem kell új megállapodást kötni, mert a korábban megkötött is érvényben van."
Hogyan tudok konzultálni és aláíratni hiányzó dokumentumot a szakmai gyakorlattal kapcsolatban?,"Kérjük, vegye fel a kapcsolatot az illetékes tanárral, Dr. Blázovics Lászlóval, hogy megbeszélje a konzultáció időpontját és helyszínét."
Milyen lehetőségem van a szakmai gyakorlat anyagának utólagos leadására?,"Amennyiben záróvizsgára készülsz, engedélyezett a szakmai gyakorlat anyagának utólagos leadása. Ezt kérheted a megfelelő dokumentumok csatolásával."
"Mi a teendőm, ha nem adtam le időben a szakmai gyakorlat kezdési dokumentumát?","Ha nem adtad le időben a szakmai gyakorlat kezdési dokumentumát, még mindig van lehetőséged az anyag utólagos leadására. Ehhez kérned kell az engedélyt a megfelelő kérvény benyújtásával."
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptun rendszerben?,"A szakmai gyakorlat tárgyát a Neptun rendszerben akkor kell felvenned, amikor a gyakorlatot elvégzed. Ha a gyakorlatot a nyári időszakban végzed, akkor azt a következő őszi félévben kell felvenned. Ha pedig félév közben végzed a gyakorlatot, akkor ugyanabban a félévben kell felvenned a tárgyat."
Milyen feltételhez kötött a szakmai gyakorlat teljesítése?,"A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele. Ezért fontos, hogy időben és megfelelően teljesítsd a szakmai gyakorlatot, hogy megkapd az aláírásodat a végbizonyítványhoz."
Milyen együttműködési megállapodások vannak a BME VIK és a vállalat között?,A BME VIK-nek van érvényes együttműködési megállapodása a vállalattal.
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben."
Hol találhatom meg a szerződött vállalatok listáját az IIT honlapján?,Az IIT honlapon nem található a szerződött vállalatok listája. A vállalatok listáját az AUT tanszék oldalán találod meg.
"Milyen feltételeknek kell megfelelnem ahhoz, hogy végezhessem a szakmai gyakorlatot a Diligent Governance Hungary Kft-nél?","A Diligent Governance Hungary Kft-nél történő szakmai gyakorlat elvégzéséhez szükséges, hogy a vállalatnak legyen érvényes együttműködési megállapodása a BME-vel. Kérjük, ellenőrizd a vállalat nevét a BME VIK vagy AUT tanszék oldalán."
Milyen dokumentumokat kell feltölteni az õszi témákhoz a BME VIK szakmai gyakorlatos oldalán?,Az õszi témákhoz a portálra a szükséges dokumentumokat kell feltölteni. A pontos lista és a feltöltési határidők elérhetőek az AUT szakmai gyakorlatos oldalán.
Milyen határidővel kell beadni a szakmai gyakorlat jelentkezést az AUT szakmai gyakorlatos oldalán?,"A szakmai gyakorlat jelentkezésének határideje az AUT szakmai gyakorlatos oldalán található. Fontos, hogy időben beadja a jelentkezést, hogy az elfogadása biztosítva legyen."
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptun rendszerben?,"A szakmai gyakorlat tárgyát a Neptun rendszerben akkor kell felvenni, ha a gyakorlatot az ajánlott módon a nyári időszakban végzi. Ha a szakmai gyakorlatot eltérő időpontban végzi, akkor ugyanabban a félévben kell felvenni a tárgyat. A szakmai gyakorlat teljesítése a végbizonyítvány kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírás."
Milyen módon lehet jelentkezni a szakmai gyakorlatra?,A szakmai gyakorlatra jelentkezni az AUT szakmai gyakorlatos oldalán lehet. A jelentkezéshez szükséges dokumentumokat el kell küldeni a megadott határidőig.
Milyen dokumentációra van szükség a szakmai gyakorlat elfogadtatásához?,"A szakmai gyakorlat elfogadtatásához szükséges a Neptunból lekérdezhető BSc-s Tárgyteljesítési lap, amely tartalmazza, hogy elvégezted a szakmai gyakorlatot és hogy a félév végén bekerült az aláírásod."
Mennyi ideig kell tartania a BSc-s és az MSc-s szakmai gyakorlatnak?,"A BSc-s szakmai gyakorlatnak 6 hetet kell tartania, míg az MSc-s szakmai gyakorlatnak csak 4 hetet."
